candidate_id,rank,score,reasoning,confidence
CAND_0079387,16,0.7146,"AI Engineer, 6.9y. Score=0.715 Conf=58% Evidence: ""Developed a semantic search feature""@BYJU'S; ""Developed a semantic search feature""@BYJU'S Strong: ranking_system, learning_to_rank Recency:+0.10 R",0.58
CAND_0039838,17,0.7144,"Recommendation Systems Engineer, 4.9y. Score=0.714 Conf=58% Evidence: ""Trained and shipped multiple rankin""@Microsoft [Elite]; ""Trained and shipped multiple rankin""@Microsoft [Elite] Strong: rankin",0.58
CAND_0039754,18,0.7117,"Senior Applied Scientist, 16.2y. Score=0.712 Conf=61% Evidence: ""Owned the end-to-end ranking pipeli""@Meta [Frontier]; ""Owned the end-to-end ranking pipeli""@Meta [Frontier] Strong: ranking_system, ",0.61
CAND_0005649,19,0.71,"Senior Data Scientist, 7.4y. Score=0.710 Conf=60% Evidence: ""Developed a semantic search feature""@Sarvam AI; ""Developed a semantic search feature""@Sarvam AI Strong: ranking_system, learning_to_rank",0.6
CAND_0086022,20,0.7084,"Senior Applied Scientist, 5.3y. Score=0.708 Conf=54% Evidence: ""Led the migration from keyword-base""@Uber [Top]; ""Led the migration from keyword-base""@Uber [Top] Strong: ranking_system, learning_to",0.54
CAND_0058688,21,0.7069,"AI Engineer, 6.7y. Score=0.707 Conf=47% Evidence: ""Built a content recommendation syst""@Apple [Frontier]; ""Built a content recommendation syst""@Apple [Frontier] Strong: ranking_system, retrieval_pr",0.47
CAND_0054123,22,0.7064,"Applied ML Engineer, 4.7y. Score=0.706 Conf=58% Evidence: ""Built a content recommendation syst""@Meta [Frontier]; ""Developed a semantic search feature""@CRED Strong: ranking_system, learning_to_rank ",0.58
CAND_0086151,23,0.7061,"Recommendation Systems Engineer, 7.7y. Score=0.706 Conf=61% Evidence: ""Developed a semantic search feature""@Meta [Frontier]; ""Developed a semantic search feature""@Meta [Frontier] Strong: ranking_sy",0.61
CAND_0075249,24,0.7055,"Applied ML Engineer, 6.2y. Score=0.706 Conf=58% Evidence: ""Developed a semantic search feature""@upGrad; ""Developed a semantic search feature""@upGrad Strong: ranking_system, learning_to_rank Recency",0.58
CAND_0011162,25,0.7044,"Recommendation Systems Engineer, 5.8y. Score=0.704 Conf=60% Evidence: ""Trained and shipped multiple rankin""@upGrad; ""Trained and shipped multiple rankin""@upGrad Strong: ranking_system, learning_to_",0.6
CAND_0039383,26,0.7041,"Applied ML Engineer, 7.1y. Score=0.704 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Paytm; ""Trained and shipped multiple rankin""@Paytm Strong: ranking_system, learning_to_rank Recency:+",0.6
CAND_0078002,27,0.7025,"Machine Learning Engineer, 6.3y. Score=0.703 Conf=59% Evidence: ""Trained and shipped multiple rankin""@Meta [Frontier]; ""Trained and shipped multiple rankin""@Meta [Frontier] Strong: ranking_system, ",0.59
CAND_0006567,28,0.7015,"Senior AI Engineer, 7.9y. Score=0.702 Conf=54% Evidence: ""Owned the search and discovery expe""@Razorpay [Top]; ""Owned the search and discovery expe""@Razorpay [Top] Strong: ranking_system, learning_",0.54
CAND_0081053,29,0.6987,"NLP Engineer, 5.4y. Score=0.699 Conf=47% Evidence: ""Built a content recommendation syst""@Salesforce [Top]; ""Built a content recommendation syst""@Salesforce [Top] Strong: ranking_system, retrieval_p",0.47
CAND_0094759,30,0.6978,"Lead AI Engineer, 8.6y. Score=0.698 Conf=54% Evidence: ""Led the migration from keyword-base""@Locobuzz; ""Led the migration from keyword-base""@Locobuzz Strong: ranking_system, learning_to_rank Recenc",0.54
CAND_0098846,31,0.6969,"AI Engineer, 7.6y. Score=0.697 Conf=60% Evidence: ""Owned the ranking layer for an e-co""@upGrad; ""Owned the ranking layer for an e-co""@upGrad Strong: ranking_system, learning_to_rank Recency:+0.10 R",0.6
CAND_0027691,32,0.6948,"NLP Engineer, 6.5y. Score=0.695 Conf=61% Evidence: ""Developed a semantic search feature""@Vedantu; ""Developed a semantic search feature""@Vedantu Strong: ranking_system, learning_to_rank Recency:+0.1",0.61
CAND_0050454,33,0.6945,"AI Engineer, 6.8y. Score=0.695 Conf=62% Evidence: ""Developed a semantic search feature""@Adobe [Top]; ""Developed a semantic search feature""@Adobe [Top] Strong: ranking_system, learning_to_rank Recen",0.62
CAND_0061265,34,0.6936,"Recommendation Systems Engineer, 6.6y. Score=0.694 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Paytm; ""Owned the ranking layer for an e-co""@Paytm Strong: ranking_system, learning_to_ra",0.61
CAND_0068811,35,0.6922,"Applied ML Engineer, 8.0y. Score=0.692 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Meesho; ""Owned the ranking layer for an e-co""@Meesho Strong: ranking_system, learning_to_rank Recency",0.58
CAND_0018722,36,0.6912,"Recommendation Systems Engineer, 6.6y. Score=0.691 Conf=62% Evidence: ""Owned the ranking layer for an e-co""@Unacademy; ""Owned the ranking layer for an e-co""@Unacademy Strong: ranking_system, learni",0.62
CAND_0083307,37,0.6902,"Search Engineer, 7.8y. Score=0.690 Conf=62% Evidence: ""Owned the ranking layer for an e-co""@Netflix [Elite]; ""Owned the ranking layer for an e-co""@Netflix [Elite] Strong: ranking_system, learning_t",0.62
CAND_0011687,38,0.69,"Senior NLP Engineer, 7.8y. Score=0.690 Conf=56% Evidence: ""Owned the end-to-end ranking pipeli""@Niramai; ""Owned the end-to-end ranking pipeli""@Niramai Strong: ranking_system, learning_to_rank Recen",0.56
CAND_0006557,39,0.6898,"NLP Engineer, 7.9y. Score=0.690 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Paytm; ""Owned the ranking layer for an e-co""@Paytm Strong: ranking_system, learning_to_rank Recency:+0.10 Re",0.58
CAND_0042100,40,0.6894,"Machine Learning Engineer, 7.3y. Score=0.689 Conf=60% Evidence: ""Owned the ranking layer for an e-co""@Freshworks; ""Owned the ranking layer for an e-co""@Freshworks Strong: ranking_system, learning_t",0.6
CAND_0010685,41,0.6889,"NLP Engineer, 6.7y. Score=0.689 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Rephrase.ai; ""Trained and shipped multiple rankin""@Mad Street Den Strong: ranking_system, learning_to_rank R",0.61
CAND_0070398,42,0.6873,"Machine Learning Engineer, 7.2y. Score=0.687 Conf=61% Evidence: ""Developed a semantic search feature""@Genpact AI; ""Developed a semantic search feature""@Genpact AI Strong: ranking_system, learning_t",0.61
CAND_0095528,43,0.6855,"Senior Data Scientist, 5.3y. Score=0.685 Conf=47% Evidence: ""Built a content recommendation syst""@Netflix [Elite]; ""Built a content recommendation syst""@Netflix [Elite] Strong: ranking_system, retr",0.47
CAND_0044855,44,0.6845,"Senior Data Scientist, 6.6y. Score=0.684 Conf=58% Evidence: ""Developed a semantic search feature""@Verloop.io; ""Developed a semantic search feature""@Verloop.io Strong: ranking_system, learning_to_ra",0.58
CAND_0081846,45,0.6827,"Lead AI Engineer, 6.7y. Score=0.683 Conf=56% Evidence: ""Owned the design and rollout of a l""@Paytm; ""Owned the design and rollout of a l""@Paytm Strong: ranking_system, learning_to_rank Recency:+0.1",0.56
CAND_0046525,46,0.6819,"Senior Machine Learning Engineer, 6.1y. Score=0.682 Conf=54% Evidence: ""Led the migration from keyword-base""@Genpact AI; ""Led the migration from keyword-base""@Genpact AI Strong: ranking_system, lea",0.54
CAND_0081686,47,0.6789,"Search Engineer, 6.0y. Score=0.679 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Netflix [Elite]; ""Developed a semantic search feature""@Niramai Strong: ranking_system, learning_to_rank R",0.61
CAND_0088025,48,0.6771,"Staff Machine Learning Engineer, 8.6y. Score=0.677 Conf=63% Evidence: ""Owned the end-to-end ranking pipeli""@Yellow.ai; ""Owned the end-to-end ranking pipeli""@Yellow.ai Strong: ranking_system, learni",0.63
CAND_0094056,49,0.6741,"NLP Engineer, 5.9y. Score=0.674 Conf=60% Evidence: ""Developed a semantic search feature""@Rephrase.ai; ""Developed a semantic search feature""@Rephrase.ai Strong: ranking_system, learning_to_rank Rece",0.6
CAND_0013613,50,0.673,"Machine Learning Engineer, 4.7y. Score=0.673 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Razorpay [Top]; ""Trained and shipped multiple rankin""@Razorpay [Top] Strong: ranking_system, le",0.6
CAND_0031593,51,0.6714,"Search Engineer, 7.8y. Score=0.671 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Genpact AI; ""Owned the ranking layer for an e-co""@Genpact AI Strong: ranking_system, learning_to_rank Rec",0.58
CAND_0030827,52,0.6712,"Senior Data Scientist, 5.4y. Score=0.671 Conf=61% Evidence: ""Developed a semantic search feature""@Glance; ""Developed a semantic search feature""@Glance Strong: ranking_system, learning_to_rank Recen",0.61
CAND_0064326,53,0.671,"Search Engineer, 7.6y. Score=0.671 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Sarvam AI; ""Owned the ranking layer for an e-co""@Sarvam AI Strong: ranking_system, learning_to_rank Recen",0.61
CAND_0066376,54,0.6706,"Applied ML Engineer, 5.7y. Score=0.671 Conf=58% Evidence: ""Built a content recommendation syst""@Dream11; ""Developed a semantic search feature""@Salesforce [Top] Strong: ranking_system, learning_to_r",0.58
CAND_0060054,55,0.6705,"AI Engineer, 6.4y. Score=0.670 Conf=60% Evidence: ""Developed a semantic search feature""@Mad Street Den; ""Developed a semantic search feature""@Mad Street Den Strong: ranking_system, learning_to_rank",0.6
CAND_0006418,56,0.6669,"Machine Learning Engineer, 5.7y. Score=0.667 Conf=58% Evidence: ""Trained and shipped multiple rankin""@Verloop.io; ""Trained and shipped multiple rankin""@Verloop.io Strong: ranking_system, learning_t",0.58
CAND_0027801,57,0.6659,"NLP Engineer, 7.4y. Score=0.666 Conf=61% Evidence: ""Developed a semantic search feature""@Uber [Top]; ""Developed a semantic search feature""@Uber [Top] Strong: ranking_system, learning_to_rank Recenc",0.61
CAND_0051630,58,0.6653,"Machine Learning Engineer, 6.0y. Score=0.665 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Razorpay [Top]; ""Owned the ranking layer for an e-co""@Razorpay [Top] Strong: ranking_system, le",0.61
CAND_0053695,59,0.6645,"Recommendation Systems Engineer, 5.8y. Score=0.664 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Genpact AI; ""Owned the ranking layer for an e-co""@Genpact AI Strong: ranking_system, lear",0.61
CAND_0005260,60,0.6643,"Senior NLP Engineer, 5.2y. Score=0.664 Conf=53% Evidence: ""Built a RAG-based ranking pipeline""@Yellow.ai; ""Built a RAG-based ranking pipeline""@Yellow.ai Strong: ranking_system, learning_to_rank Rec",0.53
CAND_0076251,61,0.6632,"Search Engineer, 7.6y. Score=0.663 Conf=60% Evidence: ""Developed a semantic search feature""@Haptik; ""Developed a semantic search feature""@Haptik Strong: ranking_system, learning_to_rank Recency:+0.",0.6
CAND_0050876,62,0.6628,"Applied ML Engineer, 6.0y. Score=0.663 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Freshworks; ""Owned the ranking layer for an e-co""@Freshworks Strong: ranking_system, learning_to_rank",0.58
CAND_0064904,63,0.6613,"AI Engineer, 4.9y. Score=0.661 Conf=47% Evidence: ""Built a content recommendation syst""@Freshworks; ""Built a content recommendation syst""@Freshworks Strong: ranking_system, retrieval_prod Recency:+",0.47
CAND_0044222,64,0.6588,"AI Engineer, 7.7y. Score=0.659 Conf=60% Evidence: ""Developed a semantic search feature""@PolicyBazaar; ""Developed a semantic search feature""@PolicyBazaar Strong: ranking_system, learning_to_rank Rec",0.6
CAND_0012957,65,0.6573,"Search Engineer, 4.9y. Score=0.657 Conf=58% Evidence: ""Built a content recommendation syst""@Mad Street Den; ""Owned the ranking layer for an e-co""@Razorpay [Top] Strong: ranking_system, learning_to_",0.58
CAND_0026532,66,0.6567,"Recommendation Systems Engineer, 4.8y. Score=0.657 Conf=58% Evidence: ""Developed a semantic search feature""@Zomato [Top]; ""Developed a semantic search feature""@Zomato [Top] Strong: ranking_system, ",0.58
CAND_0055905,67,0.6552,"Senior Machine Learning Engineer, 8.1y. Score=0.655 Conf=56% Evidence: ""Built a RAG-based ranking pipeline""@Rephrase.ai; ""Built a RAG-based ranking pipeline""@Rephrase.ai Strong: ranking_system, lea",0.56
CAND_0000031,68,0.6534,"Recommendation Systems Engineer, 6.0y. Score=0.653 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Uber [Top]; ""Trained and shipped multiple rankin""@Uber [Top] Strong: ranking_system, lear",0.6
CAND_0077337,69,0.651,"Staff Machine Learning Engineer, 7.0y. Score=0.651 Conf=55% Evidence: ""Led the migration from keyword-base""@Glance; ""Led the migration from keyword-base""@Glance Strong: ranking_system, learning_to_",0.55
CAND_0061257,70,0.6508,"Staff Machine Learning Engineer, 8.0y. Score=0.651 Conf=52% Evidence: ""Owned the search and discovery expe""@Yellow.ai; ""Owned the search and discovery expe""@Yellow.ai Strong: ranking_system, learni",0.52
CAND_0041568,71,0.6497,"Search Engineer, 5.2y. Score=0.650 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Haptik; ""Owned the ranking layer for an e-co""@Haptik Strong: ranking_system, learning_to_rank Recency:+0.",0.58
CAND_0072660,72,0.6494,"Machine Learning Engineer, 7.1y. Score=0.649 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Adobe [Top]; ""Owned the ranking layer for an e-co""@Adobe [Top] Strong: ranking_system, learning",0.61
CAND_0096142,73,0.648,"Applied ML Engineer, 5.0y. Score=0.648 Conf=57% Evidence: ""Trained and shipped multiple rankin""@upGrad; ""Trained and shipped multiple rankin""@upGrad Strong: ranking_system, learning_to_rank Recency",0.57
CAND_0077285,74,0.6478,"Recommendation Systems Engineer, 5.5y. Score=0.648 Conf=58% Evidence: ""Trained and shipped multiple rankin""@Nykaa; ""Trained and shipped multiple rankin""@Nykaa Strong: ranking_system, learning_to_ra",0.58
CAND_0057563,75,0.6462,"NLP Engineer, 6.8y. Score=0.646 Conf=61% Evidence: ""Built a content recommendation syst""@Yellow.ai; ""Developed a semantic search feature""@Zoho Strong: ranking_system, learning_to_rank Recency:+0.10",0.61
CAND_0016163,76,0.646,"Applied ML Engineer, 6.7y. Score=0.646 Conf=60% Evidence: ""Developed a semantic search feature""@Verloop.io; ""Developed a semantic search feature""@Verloop.io Strong: ranking_system, learning_to_rank",0.6
CAND_0041669,77,0.6454,"Recommendation Systems Engineer, 8.0y. Score=0.645 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@CRED; ""Owned the ranking layer for an e-co""@CRED Strong: ranking_system, learning_to_rank",0.58
CAND_0096172,78,0.6449,"NLP Engineer, 5.2y. Score=0.645 Conf=58% Evidence: ""Developed a semantic search feature""@Krutrim; ""Developed a semantic search feature""@Krutrim Strong: ranking_system, learning_to_rank Recency:+0.1",0.58
CAND_0043228,79,0.6438,"Applied ML Engineer, 6.8y. Score=0.644 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Zoho; ""Owned the ranking layer for an e-co""@Zoho Strong: ranking_system, learning_to_rank Recency:+0.",0.61
CAND_0032515,80,0.6417,"Machine Learning Engineer, 5.1y. Score=0.642 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Zoho; ""Trained and shipped multiple rankin""@Zoho Strong: ranking_system, learning_to_rank Recen",0.6
CAND_0044883,81,0.641,"AI Engineer, 6.3y. Score=0.641 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Paytm; ""Trained and shipped multiple rankin""@Paytm Strong: ranking_system, learning_to_rank Recency:+0.10 Rec",0.6
CAND_0080766,82,0.6407,"Staff Machine Learning Engineer, 8.8y. Score=0.641 Conf=55% Evidence: ""Designed the ranking layer for the""@Swiggy [Top]; ""Designed the ranking layer for the""@Swiggy [Top] Strong: ranking_system, le",0.55
CAND_0065878,83,0.6404,"Senior Data Scientist, 7.8y. Score=0.640 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Glance; ""Owned the ranking layer for an e-co""@Glance Strong: ranking_system, learning_to_rank Recen",0.61
CAND_0014440,84,0.639,"Recommendation Systems Engineer, 6.4y. Score=0.639 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@CRED; ""Owned the ranking layer for an e-co""@CRED Strong: ranking_system, learning_to_rank",0.61
CAND_0056881,85,0.639,"Machine Learning Engineer, 4.5y. Score=0.639 Conf=58% Evidence: ""Trained and shipped multiple rankin""@Adobe [Top]; ""Trained and shipped multiple rankin""@Adobe [Top] Strong: ranking_system, learning",0.58
CAND_0005538,86,0.6385,"Senior AI Engineer, 5.9y. Score=0.638 Conf=55% Evidence: ""Built systems that understand what""@Locobuzz; ""Built and shipped a production reco""@Glance Strong: ranking_system, learning_to_rank Recency",0.55
CAND_0007411,87,0.6321,"Senior Machine Learning Engineer, 8.0y. Score=0.632 Conf=56% Evidence: ""Fine-tuned LLaMA-2-7B and Mistral-7""@Yellow.ai; ""Owned the end-to-end ranking pipeli""@Amazon [Elite] Strong: ranking_system, ",0.56
CAND_0083879,88,0.6313,"Machine Learning Engineer, 7.1y. Score=0.631 Conf=59% Evidence: ""Trained and shipped multiple rankin""@PhonePe; ""Trained and shipped multiple rankin""@PhonePe Strong: ranking_system, learning_to_rank",0.59
CAND_0061655,89,0.6312,"Machine Learning Engineer, 4.6y. Score=0.631 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Krutrim; ""Owned the ranking layer for an e-co""@Krutrim Strong: ranking_system, learning_to_rank",0.58
CAND_0049538,90,0.6287,"Applied ML Engineer, 5.8y. Score=0.629 Conf=60% Evidence: ""Owned the ranking layer for an e-co""@Saarthi.ai; ""Owned the ranking layer for an e-co""@Saarthi.ai Strong: ranking_system, learning_to_rank",0.6
CAND_0070485,91,0.6286,"Search Engineer, 6.4y. Score=0.629 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Dream11; ""Owned the ranking layer for an e-co""@Dream11 Strong: ranking_system, learning_to_rank Recency:+",0.61
CAND_0075574,92,0.628,"Machine Learning Engineer, 5.7y. Score=0.628 Conf=60% Evidence: ""Trained and shipped multiple rankin""@Observe.AI; ""Trained and shipped multiple rankin""@Observe.AI Strong: ranking_system, learning_t",0.6
CAND_0099401,93,0.6273,"NLP Engineer, 7.7y. Score=0.627 Conf=58% Evidence: ""Owned the ranking layer for an e-co""@Microsoft [Elite]; ""Owned the ranking layer for an e-co""@Microsoft [Elite] Strong: ranking_system, learning_",0.58
CAND_0024620,94,0.6265,"AI Engineer, 5.9y. Score=0.626 Conf=60% Evidence: ""Owned the ranking layer for an e-co""@PharmEasy; ""Owned the ranking layer for an e-co""@PharmEasy Strong: ranking_system, learning_to_rank Recency:+",0.6
CAND_0078042,95,0.624,"Applied ML Engineer, 4.7y. Score=0.624 Conf=60% Evidence: ""Trained and shipped multiple rankin""@PolicyBazaar; ""Trained and shipped multiple rankin""@PolicyBazaar Strong: ranking_system, learning_to_",0.6
CAND_0045250,96,0.6237,"Applied ML Engineer, 6.6y. Score=0.624 Conf=58% Evidence: ""Trained and shipped multiple rankin""@Rephrase.ai; ""Trained and shipped multiple rankin""@Rephrase.ai Strong: ranking_system, learning_to_ra",0.58
CAND_0051615,97,0.6236,"Search Engineer, 4.6y. Score=0.624 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Meta [Frontier]; ""Owned the ranking layer for an e-co""@Meta [Frontier] Strong: ranking_system, learning_t",0.61
CAND_0058575,98,0.6218,"AI Engineer, 5.8y. Score=0.622 Conf=60% Evidence: ""Developed a semantic search feature""@Krutrim; ""Developed a semantic search feature""@Krutrim Strong: ranking_system, learning_to_rank Recency:+0.10",0.6
CAND_0041610,99,0.6216,"Recommendation Systems Engineer, 6.7y. Score=0.622 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Zoho; ""Owned the ranking layer for an e-co""@Zoho Strong: ranking_system, learning_to_rank",0.61
CAND_0054394,100,0.6208,"Recommendation Systems Engineer, 4.1y. Score=0.621 Conf=61% Evidence: ""Owned the ranking layer for an e-co""@Netflix [Elite]; ""Owned the ranking layer for an e-co""@Netflix [Elite] Strong: ranking_sy",0.61
